# id	status	depends_on	validate	accept	files	title	notes
# Generated by long-run skill scaffold for run 20260430-102637
5.6	TODO	5.5	.venv/bin/python -m pytest tests/test_check_live_site.py -q	Live-site persona council passes 6/6; feature-inventory entries appended	docs/styles.css,config/feature-inventory.json	Persona-gate typography commit with feature inventory	feat: typography persona gate [persona-gate]
6.1	TODO	none	.venv/bin/python -c 'import glob; assert not glob.glob("*.log"), "log files at root"'	No *.log files at root; STATUS-*.md moved to archive/runs; .gitignore updated	.gitignore,archive/runs	Root cleanup logs and STATUS files	chore: root file cleanup
6.2	TODO	none	.venv/bin/python -c 'assert sum(1 for _ in open("CLAUDE.md")) < 250'	CLAUDE.md under 250 lines; archive/CLAUDE-runs.md holds historical runs	CLAUDE.md,archive/CLAUDE-runs.md	Trim CLAUDE.md to under 250 lines	docs: trim CLAUDE.md
6.3	TODO	none	.venv/bin/python -c 'assert sum(1 for _ in open("CHANGELOG.md")) < 800'	CHANGELOG.md under 800 lines; archive/CHANGELOG-history.md holds older entries	CHANGELOG.md,archive/CHANGELOG-history.md	Trim CHANGELOG.md to under 800 lines	docs: trim CHANGELOG
6.4	TODO	4.1	.venv/bin/python -c 'import os; assert not os.path.isdir(".overnight"), ".overnight still exists"'	.overnight directory removed; .gitignore patterns prevent return	.gitignore,.overnight	Remove .overnight directory after migration	chore: remove overnight [persona-gate]
6.5	TODO	none	.venv/bin/python -c 'import glob, os; dirs=[d for d in glob.glob(".long-run/2026*") if os.path.isdir(d)]; assert len(dirs) <= 1, dirs'	Only the active run directory remains under .long-run	.gitignore,.long-run	Cleanup historical .long-run session directories	chore: long-run session cleanup
6.6a	TODO	2.1	.venv/bin/python -m pytest tests/test_static_json_scraper.py -q	_static_json_scraper.py base class exists; per-event type from venue config not hardcoded	src/scrapers/_static_json_scraper.py,tests/test_static_json_scraper.py	Static JSON scraper base class with per-venue type	refactor: scraper base class
6.6b	TODO	6.6a,2.4	.venv/bin/python -m pytest tests/ -q	5 venues migrated to base; ballet preserves type=dance; all scraper tests green	src/scrapers,src/scraper.py,config/master_config.yaml	Migrate 5 classical-music venues to scraper base	refactor: classical scraper migration
6.7	TODO	none	.venv/bin/python -m pytest -q	Pytest still green after conservative deletion of zero-reference scripts	scripts	Audit and remove unused scripts	chore: scripts directory audit
7.1	TODO	1.5,2.5,3.4,4.6,5.6,6.7	.venv/bin/python -m pytest -q	Full validation suite green: pytest, verify_calendar, persona council, refresh dry-run, review-quality, dispatched workflows	docs/data.json	Final gate full validation suite	chore: final gate
7.2	TODO	7.1	test -f STATUS-20260430-102637.md	Run handoff file written with scorecard and cleanup commands	STATUS-20260430-102637.md	Run handoff status document	docs: run handoff
7.3	TODO	7.2	true	Loop wrap-up complete	.long-run	Run wrap-up	[no-council] chore: wrap-up
